Index,Height(Inches),Weight(Pounds)
4633,69.52902,123.5902
4634,66.08382,128.3405
4635,67.53462,122.189
4636,66.70738,119.1554
4637,67.68437,127.9357
4638,64.9133,117.8536
4639,66.99054,114.2598
4640,66.90392,124.3436
4641,68.30928,121.873
4642,67.78254,107.1698
4643,66.67402,105.6942
4644,68.02345,105.9209
4645,66.26386,110.0377
4646,68.65872,126.4691
4647,68.8758,133.5623
4648,70.66494,110.5288
4649,67.46764,142.8422
4650,66.86561,131.3179
4651,68.07938,142.0148
4652,66.97214,105.1855
4653,67.09087,119.0616
4654,66.25477,131.6159
4655,68.48544,123.1869
4656,67.56328,114.1342
4657,67.94652,127.8594
4658,67.63842,123.8136
4659,69.49172,139.1029
4660,69.35023,117.3644
4661,68.48414,155.8502
4662,67.34242,133.4692
4663,63.7973,128.2173
4664,66.47145,128.9056
4665,68.39396,145.1997
4666,67.86356,117.7852
4667,69.62777,129.2314
4668,65.50648,110.3151
4669,72.72292,145.1721
4670,70.14217,132.9902
4671,68.78695,121.1068
4672,68.67806,137.4109
4673,71.31953,141.1587
4674,67.84642,137.6199
4675,68.40321,111.129
4676,65.63922,129.8425
4677,70.43045,130.4964
4678,68.00444,124.4823
4679,67.39155,138.9571
4680,68.0015,136.2141
4681,69.24153,131.2422
4682,68.36251,106.3978
4683,68.48326,124.4191
4684,63.36476,110.7614
4685,64.47663,125.7709
4686,65.29852,114.0163
4687,66.60327,135.8777
4688,71.58316,133.3415
4689,69.32199,138.8873
4690,69.28785,132.6007
4691,65.72065,123.9237
4692,70.17847,127.4536
4693,67.75328,148.2412
4694,68.02834,122.158
4695,67.12107,119.7528
4696,69.66713,117.5732
4697,69.00275,125.9822
4698,65.31244,137.7114
4699,67.28896,108.2831
4700,68.80003,133.9222
4701,68.98651,128.5798
4702,67.06068,136.4265
4703,68.05695,128.2201
4704,66.84523,112.124
4705,68.59912,135.1695
4706,67.74997,127.2095
4707,67.38104,119.7502
4708,69.44609,119.5742
4709,66.16242,137.4896
4710,68.41685,129.0061
4711,71.03861,147.6293
4712,66.91687,126.9994
4713,68.77967,110.6833
4714,69.49877,137.0191
4715,65.22814,125.0944
4716,66.60077,142.9751
4717,69.16164,129.2245
4718,67.09027,142.6689
4719,67.51801,133.2004
4720,63.13165,135.8015
4721,73.45251,155.9981
4722,63.47897,110.1628
4723,67.17019,137.8439
4724,66.73316,121.0711
4725,67.93199,115.9738
4726,70.64087,129.3937
4727,65.33506,111.071
4728,66.92901,111.5159
4729,71.16317,144.9723
4730,68.19393,123.3543
4731,68.17463,127.3197
4732,65.15114,111.6275
4733,66.95485,123.4444
4734,68.71217,116.1338
4735,66.21228,106.3145
4736,68.06876,129.3926
4737,70.20125,145.3962
4738,67.33368,130.253
4739,67.63632,144.0878
4740,66.23692,122.5351
4741,67.59318,133.0454
4742,67.82746,107.4374
4743,71.17149,149.076
4744,64.72317,116.8801
4745,63.55844,103.049
4746,69.71436,117.5245
4747,68.3598,130.8889
4748,68.51115,143.0422
4749,66.59144,105.2595
4750,68.90018,120.1055
4751,68.62103,143.016
4752,67.84607,126.8695
4753,68.54416,138.9043
4754,66.54197,121.5207
4755,70.09349,131.7383
4756,68.07186,120.9546
4757,69.12659,138.612
4758,70.69432,147.3622
4759,68.92726,130.0261
4760,67.10353,124.1674
4761,68.07727,143.489
4762,65.82037,123.8217
4763,68.89326,130.7247
4764,66.85902,123.2355
4765,69.44484,114.1544
4766,68.71047,153.0572
4767,69.65196,126.5914
4768,66.28558,120.8002
4769,69.30112,129.099
4770,70.5502,145.7179
4771,67.09825,121.1429
4772,66.43672,119.0362
4773,68.01988,134.8026
4774,65.04188,132.806
4775,69.12072,127.696
4776,66.70731,131.1142
4777,71.77408,129.1887
4778,68.2889,114.3058
4779,64.9734,114.0111
4780,71.4599,141.1522
4781,65.03556,113.4672
4782,69.05564,136.4157
4783,70.76986,134.7036
4784,67.74608,129.3842
12714,66.58173,106.1254
12715,67.63379,136.1838
12716,70.49459,141.9638
12717,70.17511,124.9465
12718,67.13912,131.6294
12719,70.74149,132.4381
12720,69.09462,142.8177
12721,67.47896,127.436
12722,68.55825,143.5287
12723,69.07966,147.9838
12724,70.35436,121.3196
12725,62.70318,92.59193
12726,67.59562,138.9259
12727,68.14798,140.0075
12728,69.27571,155.7563
12729,69.07472,120.2972
12730,69.09439,117.6279
12731,68.6144,130.4149
12732,62.398,89.1971
12733,69.12922,139.877
12734,67.33389,126.0962
12735,65.08376,131.736
12736,71.12569,137.2863
12737,68.07031,117.5196
12738,65.54023,117.5058
12739,70.37267,124.7668
12740,65.68487,124.5331
12741,65.1396,127.773
12742,72.15147,148.5491
12743,65.05276,103.6491
12744,65.00704,95.01295
12745,69.52238,134.7143
12746,66.51322,114.55
12747,70.00383,138.3081
12748,65.98143,123.4941
12749,66.13459,101.1344
12750,69.87842,138.228
12751,66.66719,126.0355
12752,66.89316,139.7169
12753,68.49506,122.879
12754,66.52004,126.5041
12755,67.96291,114.4191
12756,66.29951,126.7682
23627,69.72472,146.8345
23628,65.79407,117.257
23629,68.77865,148.2023
23630,65.47726,110.3392
23631,68.95735,124.7896
23632,68.41169,137.9051
23633,67.62647,134.5912
23634,66.45056,136.37
23635,68.41418,136.993
23636,73.46216,140.968
23637,65.43572,118.0352
23638,67.99082,135.9919
23639,67.52665,122.5461
23640,67.73934,115.2443
23641,65.96595,119.5018
23642,68.87961,121.7995
23643,68.08036,127.2558
23644,67.36171,120.6458
23645,64.38354,119.3323
23646,69.75639,126.066
23647,66.8137,106.6755
23648,67.46087,121.3847
23649,68.99738,118.3578
23650,66.52827,123.3633
23651,69.43908,136.248
23652,67.88492,122.1517
23653,70.61052,147.686
23654,69.48816,130.5616
23655,67.12804,122.7826
23656,67.75649,117.9294
23657,70.94686,131.9377
23658,68.2358,125.9982
23659,68.81174,135.5761
23660,69.37167,130.0714
23661,66.56234,123.6984
23662,67.51121,115.6791
23663,67.92882,129.482
23664,64.63454,109.9452
23665,67.79166,118.3516
23666,67.04792,125.6464
23667,68.56413,112.2504
23668,67.53116,124.9106
23669,67.71164,130.67
23670,71.49767,128.9497
23671,66.42399,121.8209
23672,65.25687,115.1695
23673,67.02666,121.5475
23674,68.4504,122.1388
23675,73.55566,149.8402
23676,69.17741,131.2888
23677,67.4203,110.133
23678,67.42349,130.7954
23679,70.42099,127.0184
23680,67.02709,116.7578
23681,66.33083,129.3366
23682,69.55259,133.0437
23683,69.55744,135.4041
23684,67.25328,138.7002
23685,66.1666,105.7041
23686,68.87957,98.57059
23687,69.62485,131.5031
23688,68.47403,129.3925
23689,65.07886,140.2449
23690,67.07668,137.308
23691,65.87754,121.0767
23692,68.13293,123.9844
23693,70.14968,121.9132
23694,65.34486,111.9794
23695,66.07233,123.6313
23696,68.10652,129.6434
23697,71.04529,139.779
23698,64.75341,119.3351
23699,67.33457,110.3688
23700,64.26607,127.348
23701,66.25028,122.8633
23702,69.80613,126.2564
23703,70.31933,132.2946
23704,65.90373,122.0525
23705,68.12881,111.4134
23706,69.43281,120.0944
23707,69.05555,140.1024
23708,70.16747,139.4727
23709,70.72975,152.7356
23710,69.50996,137.1134
23711,67.74268,136.3711
23712,67.58253,128.0786
23713,65.01312,125.7965
23714,67.06595,129.959
23715,68.32618,129.2915
23716,67.4883,132.394
23717,67.81802,121.1499
23718,67.86423,122.2616
23719,67.04793,144.7241
23720,69.56793,124.4291
23721,64.52939,128.9372
23722,68.42798,122.4175
23723,68.71113,112.1148
23724,66.14989,138.2484
23725,72.84817,151.3727
23726,71.75528,136.2952
23727,66.20062,122.2395
23728,71.30122,122.1991
23729,72.70475,106.6605
23730,66.4848,131.0492
23731,65.73936,103.8932
23732,65.73932,116.6705
23733,68.36851,126.187
23734,66.78073,123.7823
23735,65.25826,95.63814
23736,69.25203,125.6851
23737,68.19473,113.3283
23738,67.42308,127.9037
23739,68.59131,121.6313
23740,69.93451,112.2096
23741,68.35495,137.9728
23742,67.77473,133.3277
23743,70.20824,136.6606
23744,64.81088,111.9485
23745,70.52361,135.5258
23746,68.65188,115.0439
23747,67.0511,131.1182
23748,69.31371,132.4638
23749,67.36956,128.4464
23750,70.15169,114.8211
23751,65.51921,113.3363
23752,70.00466,104.466
23753,68.0189,129.3333
23754,66.72787,103.2365
23755,69.81422,132.2248
23756,67.4484,105.256
23757,64.50036,126.8106
23758,67.42181,127.379
23759,69.54484,135.6098
23760,66.78251,94.51209
23761,68.02583,135.0232
23762,69.59756,126.0523
23763,69.70111,147.8201
23764,68.69898,131.2838
23765,69.50665,139.9177
23766,67.16676,125.2779
23767,66.01105,130.5078
23768,68.95166,129.3768
23769,68.38876,119.2589
23770,67.47329,132.4444
23771,66.73831,128.1593
23772,64.92467,96.91718
23773,71.2568,130.6852
23774,68.64395,136.5972
23775,67.67603,124.4685
23776,65.50539,143.9237
23777,64.31386,119.0699
23778,69.72695,119.3308
23779,65.11523,125.7234
23780,63.70715,111.0903
23781,69.94478,128.5573
23782,67.20119,113.6719
23783,71.38651,141.1154
23784,66.74038,133.1715
23785,65.21928,125.0902
23786,66.83913,129.4363
23787,69.02398,130.9462
23788,67.32826,112.6738
23789,66.59493,127.1637
23790,71.73466,145.4267
23791,66.33824,123.3295
23792,67.0491,123.2213
23793,70.64134,152.056
23794,69.59606,118.9768
23795,66.78068,119.4823
23796,69.39063,149.617
23797,69.90303,133.9469
23798,72.73727,144.2981
23799,68.39263,132.5303
23800,68.31048,129.9349
23801,66.94796,113.807
23802,68.97424,131.1916
23803,63.82304,120.9811
23804,67.42872,134.8411
23805,67.44922,122.6827
23806,68.4922,143.6419
23807,65.45648,99.10252
23808,67.46239,125.3729
23809,68.06118,119.3436
23810,69.35205,127.3954
23811,67.1694,120.7452
23812,69.16451,138.1299
23813,67.84407,117.4335
23814,69.74531,136.4161
23815,69.50049,118.8787
23816,65.59756,109.2654
23817,65.7887,121.8958
23818,67.73988,121.1281
23819,67.45264,107.8988
23820,66.76519,118.5142
23821,69.16573,122.5451
23822,67.64803,130.9586
23823,68.99719,126.3192
23824,66.95571,114.573
23825,68.21681,139.3253
23826,70.59044,135.6509
23827,67.01016,136.7692
23828,67.16363,112.0325
23829,67.31394,114.5343
23830,68.61835,135.0315
23831,67.52474,129.9562
23832,68.7303,132.5218
23833,68.51045,113.1181
23834,70.2755,124.5574
23835,69.58278,132.3214
23836,68.17009,126.5205
23837,68.29276,130.0106
23838,69.6923,140.5433
23839,70.30843,136.5605
23840,65.24029,116.5097
23841,71.56487,132.1166
23842,67.86942,130.7553
23843,67.8101,144.9624
23844,66.69452,119.4778
23845,68.80517,129.8844
23846,67.00182,134.3311
23847,68.36228,144.5173
23848,70.3389,131.5169
23849,68.009,126.9959
23850,65.48455,136.5241
23851,69.68966,125.4997
23852,68.552,129.4829
23853,68.2096,138.6158
23854,66.93118,121.261
23855,67.46192,119.6095
23856,69.29621,107.5141
23857,68.12627,130.5966
23858,66.35397,124.3943
23859,68.31918,120.5494
23860,67.79233,119.2799
23861,66.99949,124.8734
23862,69.77773,131.3978
23863,69.52365,147.8093
23864,66.95733,129.7038
23865,68.37534,117.5037
23866,67.07925,137.0927
23867,64.60565,98.9372
23868,66.65496,139.758
23869,69.01472,121.4022
23870,66.8597,122.6126
23871,69.87952,144.0689
23872,64.61346,103.4199
23873,67.75415,134.9398
23874,73.02684,139.7916
23875,68.15447,128.9553
23876,72.59702,136.8067
23877,68.01914,112.0903
23878,65.82187,112.6344
23879,68.81957,130.1162
23880,71.317,144.7312
23881,70.00255,137.785
23882,66.38261,122.7683
23883,68.21355,140.6809
23884,67.74003,108.2607
23885,70.18718,122.1478
23886,71.83265,130.342
23887,67.36621,116.9097
23888,68.57086,135.0217
23889,71.04741,151.1236
23890,66.59795,123.6365
23891,68.81107,118.8078
23892,65.33076,116.2683
23893,68.52512,129.2716
23894,68.01263,133.3037
23895,68.81095,129.318
23896,71.415,142.9992
23897,73.38057,154.3189
23898,69.0571,127.9148
23899,66.30593,125.7792
23900,67.19635,120.2431
23901,66.82731,118.848
23902,70.80376,131.1233
23903,69.21079,126.0975
23904,68.97666,140.9174
23905,70.93475,141
23906,69.29018,137.2974
23907,67.88454,132.3025
23908,68.839,139.0026
23909,68.75738,128.0374
23910,66.63057,118.8852
23911,68.70439,122.1627
23912,70.42439,142.969
23913,68.09534,120.9784
23914,68.73448,155.5583
23915,66.32387,126.5144
23916,68.38525,133.0024
23917,71.26558,129.0136
23918,70.30804,139.5592
23919,72.37914,125.4124
23920,70.68229,145.6807
23921,69.25524,116.9842
23922,68.61717,118.0604
23923,69.95234,154.2652
23924,67.21192,122.616
23925,68.95803,140.1877
23926,70.21225,115.701
23927,66.06475,117.0679
23928,69.89075,153.5111
23929,65.70868,118.8838
23930,67.40897,131.353
23931,67.80336,128.5892
23932,66.77537,126.0811
23933,69.39472,124.5088
23934,68.03254,152.3259
23935,70.68853,142.0573
23936,64.90623,125.4661
23937,66.7301,124.653
23938,66.05134,125.7801
23939,65.12063,107.4916
23940,70.73337,136.9526
23941,70.21345,129.7068
23942,67.41542,144.5605
23943,69.81576,121.2493
23944,69.08556,124.4855
23945,68.79164,125.9361
23946,64.48761,124.4471
23947,65.63039,122.1341
23948,63.8873,101.9472
23949,64.23075,110.6193
23950,68.96118,138.7769
23951,67.28415,117.8188
23952,67.95165,129.1463
23953,66.13126,121.0599
23954,69.68175,125.9135
23955,68.97307,132.694
23956,68.54922,140.4031
23957,72.05551,144.0404
23958,69.71957,127.4787
23959,66.86686,144.6107
23960,68.5857,132.7412
23961,67.71756,150.1169
23962,69.84981,115.8517
23963,70.80466,148.1321
23964,69.82289,136.5182
23965,68.44916,118.8654
23966,64.51651,124.292
23967,66.39716,102.9907
23968,70.74389,119.446
23969,68.03206,126.3614
23970,70.51117,146.8083
23971,68.10873,141.6847
23972,67.23845,115.9517
23973,68.54145,146.4722
23974,66.88341,120.6493
23975,67.94309,127.9486
23976,70.47829,140.5446
23977,67.41672,103.9911
23978,71.68845,138.8903
23979,68.42777,132.1107
23980,69.80496,139.5662
23981,69.95499,123.728
23982,66.12776,129.0935
23983,66.77574,104.4298
23984,68.88634,146.4716
23985,66.04019,122.0205
23986,66.82725,105.2155
23987,71.84956,114.3322
23988,66.5493,120.0294
23989,66.64194,122.2388
23990,69.40514,125.8462
23991,68.9732,149.142
23992,68.89927,118.6997
23993,66.49234,114.5492
23994,69.66246,123.1604
23995,71.37386,119.0819
23996,68.49401,128.6116
23997,66.74375,116.3968
23998,68.17463,136.3225
23999,66.44601,109.0425
24000,66.93173,127.6166
24001,71.05722,129.2659
24002,70.44551,132.4324
24003,66.78778,123.2117
24004,66.99974,104.313
24005,66.93056,129.3818
24006,68.64546,156.5212
24007,68.33571,116.6739
24008,67.13465,131.0346
24009,66.99755,137.65
24010,66.55502,109.5773
24011,67.6653,118.1356
24012,68.29447,121.9493
24013,67.86169,136.1423
24014,65.99617,123.9677
24015,69.31348,126.5029
24016,66.8696,128.1357
24017,67.89663,111.9666
24018,68.59532,132.2773
24019,65.47889,119.7798
24020,65.17519,122.6844
24021,69.09782,121.3777
24022,68.59388,135.8185
24023,67.38888,107.0327
24024,67.39861,148.6724
24025,67.55792,118.6378
24026,68.62413,135.944
24027,68.57569,143.4643
24028,69.64614,139.2707
24029,70.87591,153.1772
24030,66.54682,120.1556
24031,66.75683,122.6771
24032,69.0924,132.2348
24033,66.26872,125.055
24034,70.44345,129.744
24035,65.63798,100.8841
24036,66.14059,125.2816
24037,69.02744,116.3008
24038,69.11634,135.7018
24039,66.91189,124.487
24040,67.47984,118.6579
24041,66.27411,142.8314
24042,69.06754,133.5337
24043,68.74367,113.0626
24044,67.78497,123.231
24045,66.80328,121.5905
24046,67.49976,125.0247
24047,65.05186,123.9833
24048,69.20162,105.2719
24049,69.61355,124.7545
24050,70.41472,130.2035
24051,62.91894,121.8655
24052,69.06546,125.3295
24053,68.80458,123.1664
24054,67.55559,144.891
24055,69.75067,136.7792
24056,68.04394,129.1908
24057,70.18295,107.8295
24058,68.99489,141.8741
24059,67.51961,128.5576
24060,64.56646,119.602
24061,71.95831,135.2597
24062,69.0224,144.1056
24063,66.51118,122.3771
24064,67.9872,121.1185
24065,67.45834,111.0184
24066,67.4141,136.7198
24067,65.22365,112.0242
24068,69.31591,142.3476
24069,69.34287,135.2131
24070,68.50494,143.4556
24071,70.94343,137.6151
24072,69.26483,122.2489
24073,64.8763,111.4897
24074,67.3401,121.8431
24075,65.85647,117.6178
24076,68.28513,129.4322
24077,71.49848,135.5103
24078,68.14922,125.2074
24079,73.22107,136.736
24080,70.24483,136.0741
24081,66.16476,119.8647
24082,70.72408,150.4398
24083,69.60885,126.7483
24084,68.64307,131.2725
24085,70.82908,121.2912
24086,66.17383,112.7295
24087,68.54875,138.1077
24088,67.97518,116.8066
24089,68.32635,125.2183
24090,72.05565,127.6232
24091,67.94268,124.3097
24092,67.72877,119.0444
24093,69.59699,126.4719
24094,70.84343,130.0128
24095,71.14967,139.4641
24096,66.78035,112.8561
24097,67.51289,128.4778
24098,69.2969,129.867
24099,68.04596,113.2546
24100,66.49564,127.5542
24101,71.87029,151.8397
24102,68.3905,132.1402
24103,65.00438,113.921
24104,66.20503,120.4717
24105,69.34408,126.0365
24106,67.73769,116.4037
24107,68.95293,120.5159
24108,67.79797,141.8728
24109,66.26302,130.6336
24110,69.71346,122.8188
24111,67.72305,96.06788
24112,66.72756,123.1148
24113,66.75114,132.4506
24114,66.96514,142.6672
24115,67.59748,106.3744
24116,65.51196,135.7343
24117,68.93433,118.4039
24118,70.04973,139.9917
24119,68.57453,142.7562
24120,69.95846,133.5556
24121,69.67227,144.783
24122,67.48895,121.146
24123,68.41794,127.0591
24124,70.64777,141.8289
24125,68.74365,118.5769
24126,67.49912,134.2321
24127,68.96778,118.3576
24128,64.27649,115.885
24129,69.76465,126.8942
24130,68.8062,140.9144
24131,69.53558,118.5909
24132,66.76818,117.2523
24133,70.02343,144.426
24134,65.68234,114.9949
24135,63.5547,103.4864
24136,64.35694,116.7422
24137,67.86944,104.8291
24138,64.26485,116.6974
24139,70.98567,136.3881
24140,68.02723,129.2539
24141,65.82659,125.2597
24142,69.30638,124.229
24143,66.25985,138.3646
24144,67.35007,121.1851
24145,70.33575,156.0098
24146,69.03953,128.1108
24147,69.32626,140.6029
24148,67.11686,121.2675
24149,67.96735,143.4441
24150,70.20798,128.3993
24151,69.09575,132.1344
24152,67.32842,130.276
24153,67.57214,126.6289
24154,67.48418,121.5747
24155,67.43897,142.602
24156,70.60461,136.0619
24157,69.67131,116.3116
24158,68.79333,134.0923
24159,68.6349,140.4769
24160,66.747,128.7257
24161,67.88882,140.7871
24162,67.2596,125.8938
24163,66.72282,117.8449
24164,63.72796,108.0979
24165,67.57522,128.0214
24166,69.42324,139.5001
24167,67.42113,128.4317
24168,69.55405,128.6576
24169,68.10755,136.0476
24170,70.91036,135.1862
24171,67.535,117.3195
24172,68.98823,132.1382
24173,65.828,135.4497
24174,64.87945,124.8061
24175,68.02627,133.2315
24176,66.48368,129.5454
24177,68.02029,114.874
24178,69.4901,125.2642
24179,69.58713,127.6308
24180,70.01705,128.6734
24181,68.28885,134.9464
24182,68.65246,128.2972
24183,65.70769,129.3739
24184,70.41426,133.9713
24185,66.89627,114.3175
24186,69.1823,133.4793
24187,68.80486,137.2361
24188,69.21155,161.8504
24189,64.35037,111.6101
24190,70.26517,134.1679
24191,69.56064,122.5547
24192,65.5203,120.5505
24193,69.15769,123.7836
24194,69.66405,138.799
24195,67.44392,131.769
24196,67.8289,148.232
24197,69.59938,131.8266
24198,67.51364,115.2855
24199,73.03159,139.2101
24200,64.51111,118.8058
24201,69.88715,147.5768
24202,71.0594,128.6246
24203,66.13664,118.9781
24204,68.92441,147.0122
24205,69.72196,139.1363
24206,68.76197,132.05
24207,70.53243,127.2087
24208,66.13778,113.9093
24209,67.43917,125.6656
24210,65.85657,133.1832
24211,67.41715,126.6363
24212,68.04343,114.9553
24213,67.46147,140.3633
24969,69.08296,127.4722
24970,63.61791,115.7477
24971,65.37753,126.6102
24972,67.4972,122.9844
24973,68.70055,123.2849
24974,71.32072,125.5928
24975,65.57216,123.7128
24976,66.19147,123.2446
24977,70.06322,115.418
24978,67.24989,108.7178
24979,69.624,141.5823
24980,66.7896,120.8863
24981,69.79922,154.4399
24982,66.30104,107.3901
24983,68.36249,118.7207
24984,63.77967,111.4911
24985,67.58699,127.7214
24986,69.71587,133.9126
24987,68.81291,120.8176
24988,68.86794,142.8494
24989,66.10137,103.381
24990,70.11839,141.237
24991,69.97767,125.3672
24992,71.91656,128.284
24993,70.96218,146.1936
24994,66.19462,118.7974
24995,67.21126,127.6603
24996,69.50215,118.0312
24997,64.54826,120.1932
24998,64.69855,118.2655
24999,67.52918,132.2682
25000,68.87761,124.8742
